Date,Time,Announce,Caption
,11:54:30,03 課題開始.wav,課題を始めてください
,11:59:30,04 課題終了一分前.wav,終了1分前です
,12:00:30,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,12:04:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,12:05:00,01 移動開始.wav,入室してください
,12:06:00,02 課題読む.wav,課題を読んでください
,12:06:30,03 課題開始.wav,課題を始めてください
,12:11:30,04 課題終了一分前.wav,終了1分前です
,12:12:30,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,12:16:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,12:16:15,特別74 試験終了.wav,お疲れ様でした。試験は全て終了しました。
