Date,Time,Announce,Caption
,11:33:00,03 課題開始.wav,課題を始めてください
,11:37:00,04 課題終了一分前.wav,終了1分前です
,11:38:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,11:40:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,11:41:00,02 課題読む.wav,課題を読んでください
,11:43:00,03 課題開始.wav,課題を始めてください
,11:47:00,04 課題終了一分前.wav,終了1分前です
,11:48:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,11:50:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,11:51:00,02 課題読む.wav,課題を読んでください
,11:53:00,03 課題開始.wav,課題を始めてください
,11:57:00,04 課題終了一分前.wav,終了1分前です
,11:58:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,12:00:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,12:01:00,02 課題読む.wav,課題を読んでください
,12:03:00,03 課題開始.wav,課題を始めてください
,12:07:00,04 課題終了一分前.wav,終了1分前です
,12:08:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,12:10:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,12:11:00,02 課題読む.wav,課題を読んでください
,12:13:00,03 課題開始.wav,課題を始めてください
,12:17:00,04 課題終了一分前.wav,終了1分前です
,12:18:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,12:20:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,12:21:00,02 課題読む.wav,課題を読んでください
,12:23:00,03 課題開始.wav,課題を始めてください
,12:27:00,04 課題終了一分前.wav,終了1分前です
,12:28:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,12:30:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,12:31:00,0,
,12:33:00,0,
,12:37:00,0,
,12:38:00,0,
,12:40:00,0,
,12:41:00,0,
,12:43:00,0,
,12:47:00,0,
,12:48:00,0,
,12:50:00,0,
,13:18:00,17 開始2分前.wav,開始2分前です
,13:19:00,18 開始1分前.wav,開始1分前です
,13:20:00,01 移動開始.wav,入室してください
,13:21:00,02 課題読む.wav,課題を読んでください
,13:23:00,03 課題開始.wav,課題を始めてください
,13:27:00,04 課題終了一分前.wav,終了1分前です
,13:28:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,13:30:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,13:38:00,17 開始2分前.wav,開始2分前です
,13:39:00,18 開始1分前.wav,開始1分前です
,13:40:00,01 移動開始.wav,入室してください
,13:41:00,02 課題読む.wav,課題を読んでください
,13:43:00,03 課題開始.wav,課題を始めてください
,13:47:00,04 課題終了一分前.wav,終了1分前です
,13:48:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,13:50:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,13:51:00,02 課題読む.wav,課題を読んでください
,13:53:00,03 課題開始.wav,課題を始めてください
,13:57:00,04 課題終了一分前.wav,終了1分前です
,13:58:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,14:00:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,14:01:00,02 課題読む.wav,課題を読んでください
,14:03:00,03 課題開始.wav,課題を始めてください
,14:07:00,04 課題終了一分前.wav,終了1分前です
,14:08:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,14:10:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,14:11:00,02 課題読む.wav,課題を読んでください
,14:13:00,03 課題開始.wav,課題を始めてください
,14:17:00,04 課題終了一分前.wav,終了1分前です
,14:18:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,14:20:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,14:21:00,02 課題読む.wav,課題を読んでください
,14:23:00,03 課題開始.wav,課題を始めてください
,14:27:00,04 課題終了一分前.wav,終了1分前です
,14:28:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,14:30:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,14:31:00,02 課題読む.wav,課題を読んでください
,14:33:00,03 課題開始.wav,課題を始めてください
,14:37:00,04 課題終了一分前.wav,終了1分前です
,14:38:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,14:40:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,14:41:00,02 課題読む.wav,課題を読んでください
,14:43:00,03 課題開始.wav,課題を始めてください
,14:47:00,04 課題終了一分前.wav,終了1分前です
,14:48:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,14:50:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,14:51:00,02 課題読む.wav,課題を読んでください
,14:53:00,03 課題開始.wav,課題を始めてください
,14:57:00,04 課題終了一分前.wav,終了1分前です
,14:58:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,15:00:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,15:01:00,0,
,15:03:00,0,
,15:07:00,0,
,15:08:00,0,
,15:10:00,0,
,15:08:00,17 開始2分前.wav,開始2分前です
,15:09:00,18 開始1分前.wav,開始1分前です
,15:10:00,01 移動開始.wav,入室してください
,15:11:00,02 課題読む.wav,課題を読んでください
,15:13:00,03 課題開始.wav,課題を始めてください
,15:17:00,04 課題終了一分前.wav,終了1分前です
,15:18:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,15:20:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,15:21:00,02 課題読む.wav,課題を読んでください
,15:23:00,03 課題開始.wav,課題を始めてください
,15:27:00,04 課題終了一分前.wav,終了1分前です
,15:28:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,15:30:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,15:31:00,02 課題読む.wav,課題を読んでください
,15:33:00,03 課題開始.wav,課題を始めてください
,15:37:00,04 課題終了一分前.wav,終了1分前です
,15:38:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,15:40:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,15:41:00,02 課題読む.wav,課題を読んでください
,15:43:00,03 課題開始.wav,課題を始めてください
,15:47:00,04 課題終了一分前.wav,終了1分前です
,15:48:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,15:50:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,15:51:00,02 課題読む.wav,課題を読んでください
,15:53:00,03 課題開始.wav,課題を始めてください
,15:57:00,04 課題終了一分前.wav,終了1分前です
,15:58:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,16:00:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,16:01:00,02 課題読む.wav,課題を読んでください
,16:03:00,03 課題開始.wav,課題を始めてください
,16:07:00,04 課題終了一分前.wav,終了1分前です
,16:08:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,16:10:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,16:11:00,02 課題読む.wav,課題を読んでください
,16:13:00,03 課題開始.wav,課題を始めてください
,16:17:00,04 課題終了一分前.wav,終了1分前です
,16:18:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,16:20:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,16:21:00,02 課題読む.wav,課題を読んでください
,16:23:00,03 課題開始.wav,課題を始めてください
