Date,Time,Announce,Caption
,7:30:00,01_移動開始.mp3,入室してください
,7:30:30,02_課題閲覧.mp3,課題を読んでください
,7:31:00,03_課題開始.mp3,課題を始めてください
,7:31:30,04_課題終了1分前.mp3,終了1分前です
,7:32:00,05_課題終了_FB開始.mp3,課題を終了し、フィードバックを開始してください
,7:32:30,06_FB終了_移動開始.mp3,フィードバックを終了し、移動を開始してください
,7:40:00,01_移動開始.mp3,入室してください
,7:40:30,02_課題閲覧.mp3,課題を読んでください
,7:41:00,03_課題開始.mp3,課題を始めてください
,7:41:30,04_課題終了1分前.mp3,終了1分前です
,7:42:00,05_課題終了_FB開始.mp3,課題を終了し、フィードバックを開始してください
,7:42:30,06_FB終了_移動開始.mp3,フィードバックを終了し、移動を開始してください
,7:50:00,01_移動開始.mp3,入室してください
,7:50:30,02_課題閲覧.mp3,課題を読んでください
,7:51:00,03_課題開始.mp3,課題を始めてください
,7:51:30,04_課題終了1分前.mp3,終了1分前です
,7:52:00,05_課題終了_FB開始.mp3,課題を終了し、フィードバックを開始してください
,7:52:30,06_FB終了_移動開始.mp3,フィードバックを終了し、移動を開始してください
,8:00:00,01_移動開始.mp3,入室してください
,8:00:30,02_課題閲覧.mp3,課題を読んでください
,8:01:00,03_課題開始.mp3,課題を始めてください
,8:01:30,04_課題終了1分前.mp3,終了1分前です
,8:02:00,05_課題終了_FB開始.mp3,課題を終了し、フィードバックを開始してください
,8:02:30,06_FB終了_移動開始.mp3,フィードバックを終了し、移動を開始してください
,8:20:00,01_移動開始.mp3,入室してください
,8:20:30,02_課題閲覧.mp3,課題を読んでください
,8:21:00,03_課題開始.mp3,課題を始めてください
,8:21:30,04_課題終了1分前.mp3,終了1分前です
,8:22:00,05_課題終了_FB開始.mp3,課題を終了し、フィードバックを開始してください
,8:22:30,06_FB終了_移動開始.mp3,フィードバックを終了し、移動を開始してください
,8:59:00,13_開始1分前.mp3,開始1分前です
,9:00:00,01_移動開始.mp3,入室してください
,9:01:00,02_課題閲覧.mp3,課題を読んでください
,9:03:00,03_課題開始.mp3,課題を始めてください
,9:07:00,04_課題終了1分前.mp3,終了1分前です
,9:08:00,05_課題終了_FB開始.mp3,課題を終了し、フィードバックを開始してください
