Date,Time,Announce
,15:07:00,04 課題終了一分前.wav
,15:08:00,13 課題終了・フィードバック開始.wav
,15:11:00,14 フィードバック終了・移動開始.wav
,15:12:00,01 移動開始.wav
,15:13:00,02 課題読む.wav
,15:15:00,03 課題開始.wav
,15:19:00,04 課題終了一分前.wav
,15:20:00,13 課題終了・フィードバック開始.wav
,15:23:00,14 フィードバック終了・移動開始.wav
,15:24:00,01 移動開始.wav
,15:25:00,02 課題読む.wav
,15:27:00,03 課題開始.wav
,15:31:00,04 課題終了一分前.wav
,15:32:00,13 課題終了・フィードバック開始.wav
,15:35:00,14 フィードバック終了・移動開始.wav
,15:36:00,01 移動開始.wav
,15:37:00,02 課題読む.wav
,15:39:00,03 課題開始.wav
,15:43:00,04 課題終了一分前.wav
,15:44:00,13 課題終了・フィードバック開始.wav
,15:47:00,14 フィードバック終了・移動開始.wav
,15:48:00,01 移動開始.wav
,15:49:00,02 課題読む.wav
,15:51:00,03 課題開始.wav
,15:55:00,04 課題終了一分前.wav
,15:56:00,13 課題終了・フィードバック開始.wav
,15:59:00,14 フィードバック終了・移動開始.wav
,16:00:00,01 移動開始.wav
,16:01:00,02 課題読む.wav
,16:03:00,03 課題開始.wav
,16:07:00,04 課題終了一分前.wav
,16:08:00,13 課題終了・フィードバック開始.wav
,16:11:00,14 フィードバック終了・移動開始.wav
,16:11:15,特別75 試験終了・集合.wav
